RecordID,MGMT_LEVEL,Tenure..days.,File,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,Score_P,Score_T,Flag
9499,0,1873,C,0.940948334,0.940181366,0.941706548,0.944525909,0.945741899,0.935677416,0.88,0.12,All good
9500,1,1866,C,0.901288042,0.895264771,0.898286954,0.908651318,0.905860746,0.893624028,0.16,0.84,All good
9501,0,1866,C,0.956552434,0.959672708,0.960803141,0.964999825,0.964081269,0.960650911,0.84,0.16,All good
9502,0,5769,C,0.926253848,0.92606248,0.930098443,0.936561059,0.936227367,0.94393174,0.72,0.28,All good
9503,0,1866,C,0.933683192,0.930461568,0.929090487,0.931406953,0.935031878,0.934821185,0.76,0.24,All good
9504,0,1913,C,0.939719739,0.935536961,0.940746402,0.948444102,0.949701816,0.947419014,0.58,0.42,All good
9505,0,1859,C,0.935192187,0.931320354,0.928387281,0.93817077,0.937880752,0.935553751,0.64,0.36,All good
9506,0,2522,C,0.941171827,0.940019598,0.938735849,0.95045045,0.948146017,0.948164401,0.98,0.02,P
9507,1,1873,C,0.877687586,0.879922505,0.876598244,0.894251656,0.895161091,0.885715846,0.42,0.58,All good
9508,0,1880,C,0.912894208,0.91207657,0.911467461,0.915450789,0.918367087,0.909102037,0.14,0.86,All good
9509,0,1863,C,0.937505592,0.93915049,0.927497007,0.936029553,0.938850874,0.931500629,0.86,0.14,All good
9510,1,1884,C,0.882669573,0.891686464,0.889435356,0.899123143,0.903216611,0.898018251,0.36,0.64,All good
9511,0,1859,C,0.941250181,0.94084238,0.939328621,0.945539539,0.949035457,0.947347353,0.98,0.02,P
9512,0,1884,C,0.933725926,0.933701469,0.937462929,0.944913294,0.9478796,0.935785739,0.74,0.26,All good
9513,0,1887,C,0.935516527,0.928215849,0.939043656,0.948840421,0.945799549,0.945518598,0.56,0.44,All good
9515,0,1859,C,0.935252539,0.933014341,0.927902425,0.935920209,0.934633294,0.928406311,0.66,0.34,All good
9516,0,1732,C,0.930010521,0.927903797,0.926044057,0.931592456,0.936020501,0.940654303,0.76,0.24,All good
9517,0,1859,C,0.939186264,0.939654026,0.936975477,0.947678939,0.947431108,0.948031348,0.78,0.22,All good
9518,0,2956,C,0.944150852,0.947651961,0.957473279,0.961082757,0.963026601,0.966867014,0.96,0.04,P
9519,1,2613,C,0.90052462,0.90489849,0.907192413,0.91327617,0.916587639,0.896307378,0.14,0.86,All good
9520,1,1835,C,0.893173844,0.901505744,0.898318622,0.908846872,0.907779723,0.906808898,0.08,0.92,T
9521,1,1856,C,0.888743663,0.888998664,0.885836319,0.896227041,0.894570449,0.889087097,0.38,0.62,All good
9522,0,1856,C,0.925296031,0.923680496,0.917320813,0.929837358,0.920996386,0.919277397,0.56,0.44,All good
9523,0,1838,C,0.928425385,0.929276591,0.93645938,0.943647002,0.944573182,0.944829255,0.56,0.44,All good
9524,1,2591,C,0.903434383,0.901390607,0.90238993,0.907212215,0.912536765,0.901772347,0.1,0.9,All good
9525,0,1856,C,0.941459502,0.943010559,0.940407459,0.947646463,0.947524979,0.935809757,0.92,0.08,All good
9526,0,1859,C,0.938292473,0.937866526,0.936890988,0.941695697,0.946160301,0.941426864,0.68,0.32,All good
9527,0,1845,C,0.931419137,0.934108703,0.9290695,0.937629397,0.941582319,0.911470429,0.68,0.32,All good
9529,0,2354,C,0.932526522,0.932333624,0.934954093,0.942123463,0.942613094,0.947752698,0.62,0.38,All good
9530,0,1845,C,0.938466043,0.940309536,0.935221781,0.945375727,0.942695905,0.94440141,0.9,0.1,All good
9531,0,1845,C,0.92181884,0.920636967,0.927907411,0.934314485,0.932720032,0.933680558,0.7,0.3,All good
9532,1,1838,C,0.895103806,0.895498734,0.894690098,0.912216007,0.914974562,0.913192988,0.16,0.84,All good
9533,0,1845,C,0.927214208,0.930421625,0.92538826,0.928948248,0.934405074,0.917411572,0.74,0.26,All good
9535,0,1747,C,0.887980563,0.890492024,0.906706707,0.915137506,0.918591946,0.922703631,0.14,0.86,All good
9536,0,1845,C,0.905893949,0.909048755,0.915667266,0.918938676,0.925176869,0.9284795,0.4,0.6,All good
9538,0,1845,C,0.910943166,0.913730175,0.911799219,0.92269697,0.919756778,0.921392599,0.3,0.7,All good
9540,0,2402,C,0.954861771,0.955807749,0.962717816,0.966919155,0.96642777,0.965801307,0.86,0.14,All good
9541,0,3172,C,0.951204836,0.94858709,0.938910792,0.945,0.947427508,0.959108009,0.96,0.04,P
9542,0,1824,C,0.917087806,0.919216007,0.924117299,0.934123426,0.930908438,0.932361148,0.68,0.32,All good
9543,0,1821,C,0.936515717,0.940084269,0.936396617,0.93915442,0.93984573,0.947616439,0.84,0.16,All good
